state,state_abbr,county,year,is_partial_year,num_active_units,total_co2_mass_tons,total_so2_mass_tons,total_nox_mass_tons,total_gross_load_mwh,total_heat_input_mmbtu,co2_rate_tons_per_mwh,so2_rate_tons_per_mwh,nox_rate_tons_per_mwh,pct_heatinput_coal,pct_heatinput_natural_gas,pct_heatinput_oil,pct_heatinput_biomass_waste,pct_heatinput_other,pct_heatinput_unknown,so2_to_nox_ratio,co2_to_nox_ratio,co2_yoy_pct_change,so2_yoy_pct_change,nox_yoy_pct_change
Arizona,AZ,Maricopa,2022,FALSE,38,15204088.651,76.756,1363.763,34680405.86,255837970.265,0.43841,0.000002,0.000039,0,100,0,0,0,0,0.0563,11148.6297,-1.13,-1.13,2.48
Arizona,AZ,Maricopa,2023,FALSE,38,16097027.13,81.265,1387.787,37030166.72,270863434.355,0.4347,0.000002,0.000037,0,100,0,0,0,0,0.0586,11599.0618,5.87,5.87,1.76
Arizona,AZ,Maricopa,2024,FALSE,38,16878781.593,85.213,1592.851,38614812.17,284017871.245,0.43711,0.000002,0.000041,0,100,0,0,0,0,0.0535,10596.5854,4.86,4.86,14.78
Arizona,AZ,Maricopa,2025,FALSE,38,16715815.6,84.384,1575.035,38533822.38,281275946.03,0.4338,0.000002,0.000041,0,100,0,0,0,0,0.0536,10612.9804,-0.97,-0.97,-1.12
Arizona,AZ,Maricopa,2026,TRUE,38,6555298.181,33.094,554.035,15183855.9,110305541.749,0.43173,0.000002,0.000036,0,100,0,0,0,0,0.0597,11831.9207,-60.78,-60.78,-64.82
Arizona,AZ,Mohave,2020,FALSE,6,2501794.366,15.078,260.739,5777151.25,42097482.822,0.43305,0.000003,0.000045,0,100,0,0,0,0,0.0578,9595.014,,,
Arizona,AZ,Mohave,2021,FALSE,6,2787363.029,15.988,265.299,6512942.48,46902606.746,0.42797,0.000002,0.000041,0,100,0,0,0,0,0.0603,10506.4966,11.41,6.04,1.75
Arizona,AZ,Mohave,2022,FALSE,6,2114152.094,12.096,212.006,4893016.37,35574575.436,0.43208,0.000002,0.000043,0,100,0,0,0,0,0.0571,9972.1333,-24.15,-24.34,-20.09
Arizona,AZ,Mohave,2023,FALSE,6,2860467.08,15.908,265.807,6626445.55,48132917.758,0.43167,0.000002,0.00004,0,100,0,0,0,0,0.0598,10761.4438,35.3,31.51,25.38
Arizona,AZ,Mohave,2024,FALSE,6,2887459.031,15.905,261.815,6607737.4,48588527.312,0.43698,0.000002,0.00004,0,100,0,0,0,0,0.0607,11028.6234,0.94,-0.02,-1.5
Arizona,AZ,Mohave,2025,FALSE,6,2542888.654,13.678,220.829,6027049.1,42789216.694,0.42191,0.000002,0.000037,0,100,0,0,0,0,0.0619,11515.1934,-11.93,-14,-15.65
Arizona,AZ,Mohave,2026,TRUE,6,1240042.261,6.281,96.165,2983035.67,20866112.086,0.4157,0.000002,0.000032,0,100,0,0,0,0,0.0653,12894.9437,-51.23,-54.08,-56.45
Arizona,AZ,Navajo,2020,FALSE,3,4176620.563,1860.681,3660.622,3527615.59,40707844.837,1.18398,0.000527,0.001038,100,0,0,0,0,0,0.5083,1140.9593,,,
Arizona,AZ,Navajo,2021,FALSE,2,2505736.203,1068.858,2247.809,2096648.41,24422381.808,1.19512,0.00051,0.001072,100,0,0,0,0,0,0.4755,1114.746,-40.01,-42.56,-38.59
Arizona,AZ,Navajo,2022,FALSE,2,2957243.615,1158.257,2581.756,2559928.09,28823090.748,1.15521,0.000452,0.001009,100,0,0,0,0,0,0.4486,1145.4388,18.02,8.36,14.86
Arizona,AZ,Navajo,2023,FALSE,2,2272264.575,918.513,1982.254,1987350.31,22146886.998,1.14336,0.000462,0.000997,100,0,0,0,0,0,0.4634,1146.3034,-23.16,-20.7,-23.22
Arizona,AZ,Navajo,2024,FALSE,2,1546646.35,615.852,1381.755,1456475.39,15074500.94,1.06191,0.000423,0.000949,100,0,0,0,0,0,0.4457,1119.3347,-31.93,-32.95,-30.29
Arizona,AZ,Navajo,2025,FALSE,2,467026.462,167.906,382.845,438207.34,4551918.497,1.06577,0.000383,0.000874,100,0,0,0,0,0,0.4386,1219.8839,-69.8,-72.74,-72.29
Arizona,AZ,Navajo,2026,TRUE,0,0,0,0,0,0,,,,,,,,,,,,-100,-100,-100
Arizona,AZ,Pima,2020,FALSE,3,631186.822,18.587,895.406,1017894.73,10620965.981,0.62009,0.000018,0.00088,0,100,0,0,0,0,0.0208,704.9169,,,
Arizona,AZ,Pima,2021,FALSE,3,305446.511,8.995,402.286,485499.68,5139760.911,0.62914,0.000019,0.000829,0,100,0,0,0,0,0.0224,759.277,-51.61,-51.61,-55.07
Arizona,AZ,Pima,2022,FALSE,3,381337.458,11.23,479.759,594977.04,6416799.906,0.64093,0.000019,0.000806,0,100,0,0,0,0,0.0234,794.8521,24.85,24.85,19.26
Arizona,AZ,Pima,2023,FALSE,3,536007.461,15.784,816.978,858292.45,9019348.943,0.6245,0.000018,0.000952,0,100,0,0,0,0,0.0193,656.0856,40.56,40.55,70.29
Arizona,AZ,Pima,2024,FALSE,3,665210.872,19.588,1044.94,1104030.23,11193479.766,0.60253,0.000018,0.000946,0,100,0,0,0,0,0.0187,636.602,24.1,24.1,27.9
Arizona,AZ,Pima,2025,FALSE,3,816536.369,24.045,1239.064,1333027.64,13739810.165,0.61254,0.000018,0.00093,0,100,0,0,0,0,0.0194,658.9945,22.75,22.75,18.58
Arizona,AZ,Pima,2026,TRUE,3,331623.05,9.766,510.127,535920.86,5580296.656,0.61879,0.000018,0.000952,0,100,0,0,0,0,0.0191,650.0794,-59.39,-59.38,-58.83
Arizona,AZ,Pinal,2020,FALSE,25,1490679.752,7.525,156.876,2879182.39,25083635.198,0.51774,0.000003,0.000054,0,100,0,0,0,0,0.048,9502.2805,,,
